Postcode,Car travel time to whiteknights,Public transport time to whiteknights,Walking to whiteknights
RG1 2QX,"4.3 km , 10 mins","4.0 km , 22 mins","2.9 km , 36 mins"
RG1 2QZ,"4.4 km , 10 mins","5.8 km , 24 mins","3.0 km , 36 mins"
RG1 2RA,"4.7 km , 11 mins","6.3 km , 26 mins","3.2 km , 40 mins"
RG1 2RB,"4.6 km , 11 mins","6.0 km , 26 mins","3.2 km , 39 mins"
RG1 2RD,"4.5 km , 11 mins","5.9 km , 25 mins","3.1 km , 38 mins"
RG1 2RE,"4.8 km , 12 mins","6.5 km , 29 mins","3.4 km , 41 mins"
RG1 2RF,"4.9 km , 12 mins","6.5 km , 29 mins","3.4 km , 42 mins"
RG1 2RZ,"4.1 km , 10 mins","3.7 km , 19 mins","3.0 km , 37 mins"
RG1 2SA,"4.3 km , 11 mins","3.7 km , 19 mins","2.9 km , 36 mins"
RG1 2SB,"4.3 km , 11 mins","3.7 km , 19 mins","2.8 km , 35 mins"
RG1 2SE,"4.3 km , 10 mins","3.8 km , 21 mins","2.7 km , 34 mins"
RG1 2SF,"4.4 km , 11 mins","3.8 km , 20 mins","3.0 km , 37 mins"
RG1 2SJ,"5.5 km , 12 mins","3.8 km , 20 mins","2.7 km , 34 mins"
RG1 2SN,"4.4 km , 11 mins","3.7 km , 19 mins","2.6 km , 33 mins"
RG1 2SR,"4.5 km , 12 mins","3.8 km , 21 mins","2.7 km , 34 mins"
RG1 2SS,"4.5 km , 12 mins","3.9 km , 21 mins","2.8 km , 34 mins"
RG1 2ST,"5.5 km , 12 mins","3.8 km , 20 mins","2.7 km , 33 mins"
RG1 2SU,"5.5 km , 12 mins","3.8 km , 21 mins","2.8 km , 34 mins"
RG1 2SW,"4.5 km , 11 mins","3.9 km , 21 mins","2.8 km , 34 mins"
RG1 2SX,"4.6 km , 11 mins","5.9 km , 25 mins","3.1 km , 38 mins"
RG1 2TB,"5.5 km , 12 mins","3.8 km , 20 mins","2.7 km , 33 mins"
RG1 2TD,"5.3 km , 12 mins","4.0 km , 23 mins","2.9 km , 36 mins"
RG1 2TF,"5.3 km , 12 mins","4.0 km , 23 mins","2.9 km , 36 mins"
RG1 2TG,"5.3 km , 12 mins","4.1 km , 24 mins","3.0 km , 37 mins"
RG1 2TS,"5.4 km , 13 mins","4.0 km , 23 mins","2.9 km , 36 mins"
RG1 2TT,"5.3 km , 13 mins","4.1 km , 23 mins","3.0 km , 36 mins"
RG1 3AA,"3.9 km , 9 mins","2.8 km , 20 mins","2.6 km , 33 mins"
RG1 3AE,"3.9 km , 9 mins","2.9 km , 21 mins","2.6 km , 33 mins"
RG1 3AF,"4.0 km , 10 mins","2.8 km , 20 mins","2.7 km , 35 mins"
RG1 3AG,"4.1 km , 10 mins","2.9 km , 20 mins","2.7 km , 34 mins"
RG1 3AJ,"4.0 km , 10 mins","2.8 km , 20 mins","2.7 km , 34 mins"
RG1 3AY,"3.9 km , 9 mins","2.9 km , 20 mins","2.6 km , 33 mins"
RG1 3BJ,"3.7 km , 8 mins","2.7 km , 13 mins","2.5 km , 31 mins"
RG1 3BW,"3.7 km , 8 mins","2.7 km , 12 mins","2.4 km , 31 mins"
RG1 3BY,"3.7 km , 8 mins","2.7 km , 13 mins","2.5 km , 31 mins"
RG1 3DD,"3.6 km , 8 mins","2.6 km , 12 mins","2.4 km , 30 mins"
RG1 3DG,"3.3 km , 7 mins","2.6 km , 20 mins","2.2 km , 27 mins"
RG1 3DH,"3.3 km , 7 mins","2.6 km , 21 mins","2.1 km , 26 mins"
RG1 3DP,"3.3 km , 7 mins","2.6 km , 20 mins","2.2 km , 27 mins"
RG1 3DQ,"3.3 km , 7 mins","2.6 km , 20 mins","2.2 km , 27 mins"
RG1 3DR,"2.9 km , 6 mins","2.5 km , 13 mins","2.2 km , 27 mins"
RG1 3DS,"3.3 km , 8 mins","2.2 km , 20 mins","1.8 km , 23 mins"
RG1 3DW,"3.1 km , 7 mins","2.2 km , 20 mins","1.9 km , 24 mins"
RG1 3EA,"2.3 km , 6 mins","2.2 km , 20 mins","1.6 km , 20 mins"
RG1 3ED,"3.1 km , 6 mins","2.5 km , 13 mins","2.2 km , 27 mins"
